sPDL Tool v2.0 (Last edited 25 July 2015),Testset Quartiles,SiO2, , , ,TiO2, , , ,Al2O3, , , ,FeOT, , , ,MgO, , , ,CaO, , , ,Na2O, , , ,K2O, , , ,,,,
CL5_399444255CCS_F0030100CCAM01022P3.CSV,Thor_Lake,54.3,+/-,5.1,0.8,0.2,+/-,0.25,0.03,25.1,+/-,3.9,0.4,0.3,+/-,1.6,0.9,0.4,+/-,1.4,0.1,7.9,+/-,2.5,0.2,7.76,+/-,1.22,0.15,1.01,+/-,0.87,0.07,97.01,5.31814,100A/95A/95A,2.20E+14
CL5_399444360CCS_F0030100CCAM01022P3.CSV,Thor_Lake,53.3,+/-,5.1,0.7,0.82,+/-,0.45,0.03,24.6,+/-,3.9,0.3,2.7,+/-,1.8,1,0.5,+/-,1.5,0.1,9.3,+/-,2.8,0.3,7.26,+/-,1.16,0.16,1.66,+/-,1.1,0.07,100.11,5.31814,100A/95A/95A,2.82E+14
CL5_399444466CCS_F0030100CCAM01022P3.CSV,Thor_Lake,53.8,+/-,5.1,0.7,0.79,+/-,0.45,0.02,22.1,+/-,3.8,0.4,9.5,+/-,2.6,0.4,1,+/-,1.5,0.1,5.3,+/-,1.8,0.2,6.99,+/-,1.13,0.11,1.48,+/-,1.05,0.06,100.8,5.31814,100A/95A/95A,2.85E+14
CL5_399444571CCS_F0030100CCAM01022P3.CSV,Thor_Lake,39.4,+/-,5.5,0.6,10.06,+/-,4.64,0.19,7,+/-,3.3,0.1,24,+/-,4.6,0.7,2.9,+/-,1.6,0.1,1.6,+/-,0.9,0.1,2.44,+/-,0.61,0.09,0.34,+/-,0.6,0.03,87.77,5.31814,100A/95A/95A,1.21E+15
CL5_399444977CCS_F0030100CCAM02022P3.CSV,Preble,63.4,+/-,5.3,0.9,0.75,+/-,0.44,0.11,11.9,+/-,3.6,0.7,10.4,+/-,2.7,0.6,1.4,+/-,1.5,0.1,5.8,+/-,1.9,0.3,4.88,+/-,0.86,0.16,0.95,+/-,0.85,0.07,99.47,2.68065,100A/95A/95A,3.70E+14
CL5_399445076CCS_F0030100CCAM02022P3.CSV,Preble,72.3,+/-,5.5,1.3,0.74,+/-,0.43,0.2,19.7,+/-,3.7,2.3,0.8,+/-,1.6,0.6,0.6,+/-,1.5,0.1,0.4,+/-,0.8,0.1,5.21,+/-,0.93,0.21,3.82,+/-,1.2,0.19,103.61,2.68065,100A/95A/95A,2.34E+14
CL5_399445175CCS_F0030100CCAM02022P3.CSV,Preble,61.1,+/-,5.3,0.8,0.93,+/-,0.48,0.11,14.4,+/-,3.6,0.8,13.7,+/-,3.2,0.8,1.3,+/-,1.5,0.2,4.5,+/-,1.5,0.2,4.99,+/-,0.89,0.15,0.88,+/-,0.82,0.05,101.96,2.68065,100A/95A/95A,3.45E+14
CL5_399445274CCS_F0030100CCAM02022P3.CSV,Preble,44.7,+/-,5,0.7,1.5,+/-,0.62,0.12,2.7,+/-,2.7,0.1,26.9,+/-,4.8,1.1,3,+/-,1.6,0.1,0.8,+/-,0.9,0,1.81,+/-,0.64,0.09,0.36,+/-,0.61,0.04,81.67,2.68065,100A/95A/95A,1.08E+15
CL5_399445373CCS_F0030100CCAM02022P3.CSV,Preble,54.4,+/-,5.1,0.7,2.43,+/-,0.91,0.43,11,+/-,3.5,0.4,14.7,+/-,3.3,0.9,1.7,+/-,1.5,0.1,2.5,+/-,1.1,0.2,4.57,+/-,0.8,0.18,1.25,+/-,0.97,0.08,92.6,2.68065,100A/95A/95A,5.49E+14
CL5_399445756CCS_F0030100CCAM03022P3.CSV,Murky,50.3,+/-,5,1.3,1.04,+/-,0.5,0.08,16.9,+/-,3.7,1.1,19,+/-,4.1,1.3,3.1,+/-,1.7,0.8,4.5,+/-,1.6,0.5,4.44,+/-,0.77,0.34,0.97,+/-,0.85,0.15,100.25,3.33942,100A/95A/95A,3.02E+14
