sPDL Tool v2.0 (Last edited 25 July 2015),Testset Quartiles,SiO2, , , ,TiO2, , , ,Al2O3, , , ,FeOT, , , ,MgO, , , ,CaO, , , ,Na2O, , , ,K2O, , , ,,,,
CL5_403792444CCS_F0050104CCAM01071P3.CSV,Rocknest6,41.2,+/-,5.3,0.9,1.19,+/-,0.54,0.03,8.7,+/-,3.5,0.2,23.7,+/-,4.6,0.8,4,+/-,1.7,0.1,7.1,+/-,2.3,0.5,3.3,+/-,0.64,0.23,0.82,+/-,0.79,0.09,89.97,2.60616,100A/95A/95A,7.54E+14
CL5_403792617CCS_F0050104CCAM01071P3.CSV,Rocknest6,38.3,+/-,5.7,1.3,1.34,+/-,0.57,0.03,8,+/-,3.4,0.2,27.1,+/-,4.8,1.1,3.8,+/-,1.7,0.1,5.7,+/-,1.9,0.3,2.59,+/-,0.61,0.15,0.45,+/-,0.64,0.03,87.24,2.60616,100A/95A/95A,1.03E+15
CL5_403792732CCS_F0050104CCAM01071P3.CSV,Rocknest6,40.1,+/-,5.5,1.2,1.34,+/-,0.57,0.12,11.2,+/-,3.5,0.5,36.1,+/-,5.5,1.6,2.8,+/-,1.6,0.2,2.8,+/-,1.1,0.4,4.04,+/-,0.7,0.31,0.94,+/-,0.84,0.08,99.14,2.60616,100A/95A/95A,4.90E+14
CL5_403792801CCS_F0050104CCAM01071P3.CSV,Rocknest6,36.2,+/-,6,1.2,1.65,+/-,0.66,0.09,9,+/-,3.5,0.1,39.1,+/-,5.7,1.2,3,+/-,1.6,0.1,3.3,+/-,1.2,0.3,3.07,+/-,0.63,0.16,0.65,+/-,0.72,0.06,95.85,2.60616,100A/95A/95A,7.08E+14
CL5_403792869CCS_F0050104CCAM01071P3.CSV,Rocknest6,40.2,+/-,5.4,1,1.31,+/-,0.57,0.1,8.6,+/-,3.4,0.3,28.2,+/-,4.9,1.1,3.4,+/-,1.7,0.5,3.3,+/-,1.3,1.2,2.9,+/-,0.62,0.15,0.55,+/-,0.68,0.06,88.38,2.6372,100A/95A/95A,1.02E+15
CL5_403793372CCS_F0050104CCAM02071P3.CSV,Zephyr,43.4,+/-,5.1,1.1,1.32,+/-,0.57,0.12,7,+/-,3.3,0.8,20.6,+/-,4.3,0.5,5.1,+/-,1.9,0.3,6.4,+/-,2.1,0.6,2.21,+/-,0.62,0.15,0.56,+/-,0.68,0.1,86.59,2.66283,100A/95A/95A,9.19E+14
CL5_403793442CCS_F0050104CCAM02071P3.CSV,Zephyr,49.4,+/-,5,1.8,1.87,+/-,0.72,0.15,10.4,+/-,3.5,0.5,19.9,+/-,4.2,0.8,3.4,+/-,1.7,0.2,3.5,+/-,1.3,0.7,3.34,+/-,0.64,0.31,1.34,+/-,1.01,0.21,93.1,2.66283,100A/95A/95A,8.82E+14
CL5_403793510CCS_F0050104CCAM02071P3.CSV,Zephyr,45.6,+/-,5,2.7,1.39,+/-,0.59,0.33,8.5,+/-,3.4,0.3,21.6,+/-,4.4,0.8,6.4,+/-,2,0.8,3.2,+/-,1.2,2,2.53,+/-,0.61,0.44,0.58,+/-,0.69,0.22,89.9,2.66283,100A/95A/95A,7.10E+14
CL5_403793625CCS_F0050104CCAM02071P3.CSV,Zephyr,49.5,+/-,5,1.3,2.83,+/-,1.1,0.18,9.2,+/-,3.5,0.4,19.9,+/-,4.2,0.2,4.1,+/-,1.8,0.2,3.4,+/-,1.3,0.6,3.99,+/-,0.7,0.12,1.91,+/-,1.15,0.13,94.8,2.66283,100A/95A/95A,4.86E+14
CL5_403793694CCS_F0050104CCAM02071P3.CSV,Zephyr,44.5,+/-,5,1.2,2.87,+/-,1.12,0.33,7.4,+/-,3.3,0.5,20.4,+/-,4.3,0.6,4.4,+/-,1.8,0.2,3.2,+/-,1.2,0.5,3.16,+/-,0.63,0.21,1.2,+/-,0.95,0.11,87.12,2.66828,100A/95A/95A,8.21E+14
CL5_403793868CCS_F0050104CCAM02071P3.CSV,Zephyr,45.6,+/-,5,1,2.28,+/-,0.84,0.1,8.3,+/-,3.4,0.2,21.3,+/-,4.4,0.5,4.8,+/-,1.8,0.3,3.4,+/-,1.3,0.7,3.41,+/-,0.65,0.12,1.47,+/-,1.05,0.11,90.65,2.66828,100A/95A/95A,8.32E+14
CL5_403793982CCS_F0050104CCAM02071P3.CSV,Zephyr,43.5,+/-,5.1,3.1,0.89,+/-,0.47,0.14,9.3,+/-,3.5,1,18.8,+/-,4,0.7,7.5,+/-,2.2,1,6.7,+/-,2.2,0.6,1.84,+/-,0.64,0.44,0.13,+/-,0.54,0.03,88.65,2.66828,100A/95A/95A,4.66E+14
CL5_403794051CCS_F0050104CCAM02071P3.CSV,Zephyr,43.4,+/-,5.1,2,1.56,+/-,0.63,0.32,7.9,+/-,3.4,0.5,21.1,+/-,4.4,0.6,5.5,+/-,1.9,1.4,4.5,+/-,1.6,0.9,2.1,+/-,0.62,0.33,0.54,+/-,0.67,0.21,86.63,2.66828,100A/95A/95A,6.18E+14
CL5_403794119CCS_F0050104CCAM02071P3.CSV,Zephyr,43.8,+/-,5.1,2.5,0.95,+/-,0.48,0.23,9.1,+/-,3.5,0.6,18.3,+/-,3.9,0.9,7.4,+/-,2.2,1.2,7.3,+/-,2.4,0.7,2.04,+/-,0.63,0.35,0.27,+/-,0.58,0.16,89.2,2.68341,100A/95A/95A,4.69E+14
CL5_403794567CCS_F0050104CCAM03071P3.CSV,Peg,48.8,+/-,4.9,1.8,1.6,+/-,0.64,0.15,12.7,+/-,3.6,0.7,20,+/-,4.2,0.4,3.2,+/-,1.7,0.3,3.9,+/-,1.4,0.7,3.7,+/-,0.67,0.38,1.26,+/-,0.97,0.24,95.24,3.76047,100A/95A/95A,6.19E+14
CL5_403794643CCS_F0050104CCAM03071P3.CSV,Peg,47.4,+/-,4.9,0.8,1.66,+/-,0.66,0.15,12.1,+/-,3.6,0.6,21.7,+/-,4.4,0.7,3.2,+/-,1.7,0.2,4,+/-,1.4,0.6,4.09,+/-,0.71,0.11,1.77,+/-,1.13,0.07,95.9,3.76047,100A/95A/95A,5.31E+14
CL5_403794718CCS_F0050104CCAM03071P3.CSV,Peg,46.5,+/-,5,1.1,2.2,+/-,0.81,0.13,13.4,+/-,3.6,0.9,22.5,+/-,4.5,1.3,2.9,+/-,1.6,0.2,3.7,+/-,1.3,0.4,4.21,+/-,0.73,0.24,1.77,+/-,1.13,0.19,97.16,3.76047,100A/95A/95A,5.08E+14
CL5_403794834CCS_F0050104CCAM03071P3.CSV,Peg,39.8,+/-,5.5,1.5,2.15,+/-,0.8,0.4,9.2,+/-,3.5,0.5,24.4,+/-,4.6,1.8,3.2,+/-,1.7,0.3,7,+/-,2.3,1.9,2.56,+/-,0.61,0.08,0.68,+/-,0.73,0.06,89.03,3.76047,100A/95A/95A,1.08E+15
CL5_403794910CCS_F0050104CCAM03071P3.CSV,Peg,46.2,+/-,5,0.7,1.46,+/-,0.61,0.08,9.2,+/-,3.5,1.2,20.2,+/-,4.3,0.8,3.7,+/-,1.7,0.2,6.6,+/-,2.2,0.6,2.98,+/-,0.62,0.17,0.85,+/-,0.8,0.18,91.26,3.75239,100A/95A/95A,8.42E+14
CL5_403795060CCS_F0050104CCAM03071P3.CSV,Peg,48.4,+/-,4.9,0.5,1.76,+/-,0.69,0.1,9.7,+/-,3.5,0.5,21.5,+/-,4.4,0.2,3.9,+/-,1.7,0.1,3.1,+/-,1.2,0.2,3.86,+/-,0.68,0.15,1.75,+/-,1.13,0.13,94,3.75239,100A/95A/95A,6.50E+14
CL5_403795177CCS_F0050104CCAM03071P3.CSV,Peg,50.2,+/-,5,0.6,1.31,+/-,0.57,0.03,11.1,+/-,3.5,0.3,19.5,+/-,4.1,0.2,4.2,+/-,1.8,0.1,7.4,+/-,2.4,0.5,3.68,+/-,0.66,0.13,1.4,+/-,1.03,0.08,98.71,3.75239,100A/95A/95A,7.10E+14
CL5_403795252CCS_F0050104CCAM03071P3.CSV,Peg,47,+/-,5,0.9,1.98,+/-,0.75,0.08,9.9,+/-,3.5,0.4,20.3,+/-,4.3,0.6,3.3,+/-,1.7,0.2,4,+/-,1.4,0.5,3.41,+/-,0.65,0.22,1.27,+/-,0.98,0.14,91.16,3.75239,100A/95A/95A,1.01E+15
CL5_403795327CCS_F0050104CCAM03071P3.CSV,Peg,48,+/-,4.9,1.2,1.67,+/-,0.66,0.12,11.8,+/-,3.6,0.8,21.7,+/-,4.4,0.6,3.2,+/-,1.7,0.3,4.2,+/-,1.5,0.9,4.21,+/-,0.73,0.21,1.28,+/-,0.98,0.18,95.99,3.75778,100A/95A/95A,8.55E+14
CL5_403880914CCS_F0050104CCAM01072P3.CSV,Schmutz2,44,+/-,5.1,1.1,0.94,+/-,0.48,0.11,9.5,+/-,3.5,1.4,19.9,+/-,4.2,0.4,7.3,+/-,2.2,0.4,7.1,+/-,2.3,0.4,1.87,+/-,0.64,0.17,0.27,+/-,0.58,0.06,90.94,2.28219,100A/60A/60A,3.36E+14
CL5_403880956CCS_F0050104CCAM01072P3.CSV,Schmutz2,46.2,+/-,5,0.8,0.84,+/-,0.46,0.01,10.1,+/-,3.5,0.4,18.5,+/-,4,0.1,8,+/-,2.3,0.1,6,+/-,2,0.1,2.02,+/-,0.63,0.1,0.09,+/-,0.53,0.01,91.68,2.28219,100A/60A/60A,3.67E+14
CL5_403880998CCS_F0050104CCAM01072P3.CSV,Schmutz2,43.4,+/-,5.1,1.7,1,+/-,0.49,0.08,10.4,+/-,3.5,1.1,18.8,+/-,4,1.3,7.3,+/-,2.2,0.7,7,+/-,2.3,0.9,2.2,+/-,0.62,0.23,0.26,+/-,0.58,0.04,90.37,2.28219,100A/60A/60A,2.24E+14
CL5_403881122CCS_F0050104CCAM01072P3.CSV,Schmutz2,44.6,+/-,5,1.2,0.9,+/-,0.47,0.06,8.6,+/-,3.5,0.6,20.6,+/-,4.3,0.7,10.5,+/-,2.7,0.5,5,+/-,1.7,0.4,2.01,+/-,0.63,0.23,0.22,+/-,0.56,0.08,92.41,2.28219,100A/60A/60A,3.45E+14
CL5_403881164CCS_F0050104CCAM01072P3.CSV,Schmutz2,44.9,+/-,5,2,0.94,+/-,0.48,0.07,8.9,+/-,3.5,1.2,19.6,+/-,4.2,0.5,7.7,+/-,2.2,0.6,7.1,+/-,2.3,1.1,1.95,+/-,0.63,0.24,0.34,+/-,0.6,0.04,91.47,2.27618,100A/60A/60A,2.26E+14
CL5_403881309CCS_F0050104CCAM01072P3.CSV,Schmutz2,40.6,+/-,5.4,1.3,0.92,+/-,0.48,0.09,8.7,+/-,3.5,0.7,21.3,+/-,4.4,1.6,6.7,+/-,2.1,0.8,7.3,+/-,2.4,0.7,1.95,+/-,0.63,0.15,0.36,+/-,0.61,0.12,87.94,2.27618,100A/60A/60A,2.54E+14
CL5_403881434CCS_F0050104CCAM01072P3.CSV,Schmutz2,43.5,+/-,5.1,1.5,0.95,+/-,0.48,0.06,8.6,+/-,3.5,0.9,20.1,+/-,4.2,0.9,9.3,+/-,2.5,0.5,5.4,+/-,1.8,0.5,2.07,+/-,0.63,0.25,0.34,+/-,0.6,0.06,90.15,2.27618,100A/60A/60A,2.47E+14
CL5_403881475CCS_F0050104CCAM01072P3.CSV,Schmutz2,42.3,+/-,5.2,3.2,0.83,+/-,0.46,0.08,7.9,+/-,3.4,0.7,20.3,+/-,4.3,0.9,9.4,+/-,2.5,1.6,5.9,+/-,2,1,1.77,+/-,0.64,0.27,0.24,+/-,0.57,0.06,88.65,2.27618,100A/60A/60A,2.79E+14
CL5_403881517CCS_F0050104CCAM01072P3.CSV,Schmutz2,42.1,+/-,5.2,3.8,0.81,+/-,0.45,0.02,8.1,+/-,3.4,1.9,18.3,+/-,3.9,0.9,8.2,+/-,2.3,0.8,7.7,+/-,2.4,0.7,1.66,+/-,0.65,0.37,0.31,+/-,0.59,0.1,87.12,2.27668,100A/60A/60A,1.98E+14
CL5_403881980CCS_F0050104CCAM02072P3.CSV,Epworth,40.7,+/-,5.4,0.3,1.05,+/-,0.5,0.02,13.9,+/-,3.6,0.6,21.2,+/-,4.4,0.1,6.5,+/-,2,0.2,3.5,+/-,1.3,0.1,3.47,+/-,0.65,0.15,0.52,+/-,0.67,0.04,90.93,2.26872,100A/60A/60A,5.34E+14
CL5_403882049CCS_F0050104CCAM02072P3.CSV,Epworth,46.8,+/-,5,1.4,1.13,+/-,0.52,0.05,15.9,+/-,3.6,1.8,20.3,+/-,4.3,0.6,5.2,+/-,1.9,0.6,5.5,+/-,1.8,0.4,4.03,+/-,0.7,0.65,0.49,+/-,0.66,0.09,99.31,2.26872,100A/60A/60A,2.36E+14
CL5_403882117CCS_F0050104CCAM02072P3.CSV,Epworth,50.8,+/-,5,3.2,1.18,+/-,0.53,0.25,11,+/-,3.5,1.9,18.1,+/-,3.9,1,8,+/-,2.3,1,4,+/-,1.4,1.2,2.97,+/-,0.62,0.77,0.35,+/-,0.61,0.12,96.42,2.26872,100A/60A/60A,1.88E+14
CL5_403882185CCS_F0050104CCAM02072P3.CSV,Epworth,51.3,+/-,5,2.3,0.75,+/-,0.44,0.01,10.6,+/-,3.5,0.9,23.1,+/-,4.5,3.7,4.2,+/-,1.8,0.9,2.9,+/-,1.2,0.3,2.29,+/-,0.62,0.3,0.07,+/-,0.52,0.03,95.19,2.26872,100A/60A/60A,3.42E+14
CL5_403882253CCS_F0050104CCAM02072P3.CSV,Epworth,25.8,+/-,7.1,3,0.59,+/-,0.39,0.06,6.8,+/-,3.3,0.5,12.4,+/-,3,0.7,3.4,+/-,1.7,0.1,24.1,+/-,4.6,1.4,1.16,+/-,0.6,0.16,0.1,+/-,0.53,0.01,74.35,2.27768,100A/60A/60A,3.84E+14
CL5_403882765CCS_F0050104CCAM03072P3.CSV,Kilian,38.9,+/-,5.6,2.7,1.1,+/-,0.52,0.18,7.5,+/-,3.4,1.1,19.7,+/-,4.2,1.2,3.7,+/-,1.7,0.4,11.7,+/-,3.1,2.5,2.01,+/-,0.63,0.41,0.51,+/-,0.66,0.22,85.14,3.00257,100A/95A/95A,9.02E+14
CL5_403882841CCS_F0050104CCAM03072P3.CSV,Kilian,43.8,+/-,5.1,0.4,1.42,+/-,0.59,0.05,7.5,+/-,3.4,0.4,21,+/-,4.4,0.3,4.7,+/-,1.8,0.1,7.1,+/-,2.3,0.5,2.78,+/-,0.61,0.06,0.86,+/-,0.81,0.04,89.21,3.00257,100A/95A/95A,8.28E+14
CL5_403883108CCS_F0050104CCAM03072P3.CSV,Kilian,43.5,+/-,5.1,1.5,1.55,+/-,0.63,0.08,12,+/-,3.6,1,23.9,+/-,4.6,1.6,3.3,+/-,1.7,0.2,4.9,+/-,1.7,0.7,3.1,+/-,0.63,0.21,1.03,+/-,0.88,0.14,93.27,3.09973,100A/95A/95A,1.03E+15
CL5_403883259CCS_F0050104CCAM03072P3.CSV,Kilian,49,+/-,5,2.2,1.41,+/-,0.59,0.24,9.4,+/-,3.5,1,19.1,+/-,4.1,1,4.5,+/-,1.8,0.3,5.2,+/-,1.7,1.2,3.33,+/-,0.64,0.25,2.12,+/-,1.18,0.18,94.06,3.09973,100A/95A/95A,5.27E+14
CL5_403883375CCS_F0050104CCAM03072P3.CSV,Kilian,49.1,+/-,5,4.5,1.13,+/-,0.52,0.15,8.9,+/-,3.5,0.5,19.7,+/-,4.2,0.4,6.6,+/-,2.1,0.9,3.5,+/-,1.3,2,1.08,+/-,0.58,0.26,0.17,+/-,0.55,0.04,90.21,3.09973,100A/95A/95A,4.94E+14
CL5_403883450CCS_F0050104CCAM03072P3.CSV,Kilian,50.4,+/-,5,1.1,0.69,+/-,0.42,0.02,16.4,+/-,3.7,0.4,8,+/-,2.4,2.6,5.7,+/-,1.9,0.4,9,+/-,2.7,0.5,3.18,+/-,0.63,0.19,0.24,+/-,0.57,0.02,93.57,3.09973,100A/95A/95A,4.72E+14
CL5_403883525CCS_F0050104CCAM03072P3.CSV,Kilian,57.4,+/-,5.2,0.4,0.81,+/-,0.45,0.01,21.8,+/-,3.8,0.7,3.2,+/-,1.8,1.4,1.8,+/-,1.5,0.2,8.7,+/-,2.7,0.1,6,+/-,1.03,0.13,0.6,+/-,0.7,0.06,100.31,3.10896,100A/95A/95A,2.73E+14
CL5_404058450CCS_F0050104CCAM01074P3.CSV,Crestaurum,39.9,+/-,5.5,1,0.73,+/-,0.43,0.05,7.6,+/-,3.4,0.4,17.5,+/-,3.8,0.4,8.9,+/-,2.4,0.4,7.2,+/-,2.3,0.5,1.49,+/-,0.64,0.11,0.13,+/-,0.54,0.02,83.48,2.72127,100A/95A/95A,6.00E+14
CL5_404058731CCS_F0050104CCAM02074P3.CSV,NAu-2_Hi-S,41.5,+/-,5.3,0.9,0.78,+/-,0.44,0.14,5.2,+/-,3.1,0.2,11.1,+/-,2.8,1.1,2.7,+/-,1.6,0.1,11.9,+/-,3.1,0.6,0.89,+/-,0.53,0.02,0.13,+/-,0.54,0,74.17,1.59377,100A/40A/40A,2.75E+14
CL5_404058918CCS_F0050104CCAM02074P3.CSV,NAu-2_Med-S,43.8,+/-,5.1,0.7,0.68,+/-,0.42,0,6.5,+/-,3.2,0.2,14.5,+/-,3.3,0.6,2.8,+/-,1.6,0.1,11.4,+/-,3.1,0.4,1.09,+/-,0.58,0.03,0.29,+/-,0.59,0.01,81.13,1.58982,100A/40A/40A,2.44E+14
CL5_404059030CCS_F0050104CCAM02074P3.CSV,NAu-2_Low-S,47.1,+/-,5,0.8,0.73,+/-,0.43,0.01,8.1,+/-,3.4,0.1,17.3,+/-,3.8,1.3,3.1,+/-,1.7,0.1,9.1,+/-,2.7,0.3,1.62,+/-,0.65,0.02,0.45,+/-,0.64,0.01,87.47,1.58982,100A/40A/40A,2.33E+14
CL5_404059141CCS_F0050104CCAM02074P3.CSV,Kga-d_Med-S,43.9,+/-,5.1,1.1,1.55,+/-,0.63,0.14,21.5,+/-,3.8,1,9.5,+/-,2.6,1.1,3.1,+/-,1.7,0.2,13.3,+/-,3.3,1.1,1.2,+/-,0.61,0.06,0.21,+/-,0.56,0.02,94.25,1.58786,100A/40A/40A,1.53E+14
CL5_404121613CCS_F0050104CCAM05074P3.CSV,Crestaurum_1,39.5,+/-,5.5,1.2,0.78,+/-,0.44,0.07,7.6,+/-,3.4,0.5,18.3,+/-,3.9,0.6,8.1,+/-,2.3,0.8,7.1,+/-,2.3,0.4,1.59,+/-,0.65,0.11,0.15,+/-,0.54,0.05,83.21,2.7284,100A/95A/95A,5.40E+14
CL5_404236390CCS_F0050104CCAM01076P3.CSV,NAu-2_Hi-S,42,+/-,5.2,0.8,0.63,+/-,0.4,0.01,5.3,+/-,3.1,0.1,13.3,+/-,3.1,1.4,2.8,+/-,1.6,0.1,12.8,+/-,3.2,1,1.09,+/-,0.58,0.02,0.16,+/-,0.55,0.01,78.05,1.58786,100A/40A/40A,2.46E+14
CL5_404236610CCS_F0050104CCAM01076P3.CSV,NAu-2_Med-S,45,+/-,5,0.6,0.66,+/-,0.41,0.01,7.2,+/-,3.3,0.1,13.5,+/-,3.2,0.7,2.2,+/-,1.6,0.1,12,+/-,3.1,0.5,1.06,+/-,0.58,0.02,0.23,+/-,0.57,0.01,81.85,1.58027,100A/40A/40A,1.93E+14
CL5_404236830CCS_F0050104CCAM01076P3.CSV,NAu-2_Low-S,46.3,+/-,5,0.4,0.75,+/-,0.44,0.02,8.1,+/-,3.4,0.1,16.2,+/-,3.6,0.4,2.9,+/-,1.6,0.1,9.1,+/-,2.7,0.2,1.5,+/-,0.64,0.02,0.39,+/-,0.62,0.01,85.2,1.57979,100A/40A/40A,1.90E+14
CL5_404237050CCS_F0050104CCAM01076P3.CSV,Kga-d_Med-S,42.3,+/-,5.2,0.5,1.16,+/-,0.53,0.14,18.8,+/-,3.7,1,10.7,+/-,2.8,0.5,4.4,+/-,1.8,1,13.8,+/-,3.3,0.5,1.22,+/-,0.61,0.08,0.27,+/-,0.58,0.01,92.65,1.58247,100A/40A/40A,1.73E+14
CL5_404237527CCS_F0050104CCAM01076P3.CSV,Shergottite,45.2,+/-,5,0.6,0.52,+/-,0.36,0.02,12.1,+/-,3.6,0.3,15.8,+/-,3.5,0.2,5.4,+/-,1.9,0.1,14.7,+/-,3.4,0.4,2.78,+/-,0.61,0.08,0.34,+/-,0.6,0.03,96.92,1.58933,100A/40A/40A,1.23E+14
CL5_404237747CCS_F0050104CCAM01076P3.CSV,Picrite,42.4,+/-,5.2,0.6,0.71,+/-,0.42,0.01,12.7,+/-,3.6,0.5,18.2,+/-,3.9,0.2,9.4,+/-,2.5,0.2,7.6,+/-,2.4,0.2,4.07,+/-,0.71,0.09,0.2,+/-,0.56,0.01,95.28,1.58859,100A/40A/40A,2.16E+14
CL5_404237967CCS_F0050104CCAM01076P3.CSV,Norite,41.3,+/-,5.3,0.4,0.83,+/-,0.46,0.01,14.3,+/-,3.6,0.4,16.9,+/-,3.7,0.2,8,+/-,2.3,0.1,12.5,+/-,3.2,0.3,1.58,+/-,0.65,0.11,0.01,+/-,0.51,0,95.28,1.58859,100A/40A/40A,1.74E+14
CL5_404238189CCS_F0050104CCAM01076P3.CSV,Macusanite,72.5,+/-,5.5,0.8,0.54,+/-,0.37,0.05,20.1,+/-,3.7,3.8,0,+/-,1.6,0,0.8,+/-,1.5,0.2,0.3,+/-,0.8,0,2.49,+/-,0.61,0.38,1.3,+/-,0.99,0.44,97.95,1.58687,100A/60A/60A,6.70E+13
CL5_404325218CCS_F0050104CCAM02077P3.CSV,Rocknest3_DP,46.7,+/-,5,0.7,1.74,+/-,0.68,0.28,11.8,+/-,3.6,1.3,20.7,+/-,4.3,1.5,3.6,+/-,1.7,0.2,6.2,+/-,2,1.5,3.32,+/-,0.64,0.2,1.12,+/-,0.92,0.13,95.13,3.44386,100A/95A/95A,1.10E+15
CL5_404325375CCS_F0050104CCAM02077P3.CSV,Rocknest3_DP,49.7,+/-,5,1.3,1.38,+/-,0.58,0.14,14.5,+/-,3.6,1.5,19.7,+/-,4.2,0.5,3.4,+/-,1.7,0.4,4.6,+/-,1.6,0.7,3.96,+/-,0.69,0.26,1.42,+/-,1.03,0.14,98.74,3.44386,100A/95A/95A,8.62E+14
CL5_404325531CCS_F0050104CCAM02077P3.CSV,Rocknest3_DP,44.4,+/-,5,1.1,1.5,+/-,0.62,0.13,11.7,+/-,3.6,0.6,21.2,+/-,4.4,1,3.6,+/-,1.7,0.1,7,+/-,2.3,0.5,3.78,+/-,0.67,0.13,1.36,+/-,1.01,0.1,94.59,3.44386,100A/95A/95A,8.91E+14
CL5_404325687CCS_F0050104CCAM02077P3.CSV,Rocknest3_DP,47.4,+/-,4.9,1.3,1.56,+/-,0.63,0.28,12.7,+/-,3.6,0.8,19.9,+/-,4.2,1.3,3.5,+/-,1.7,0.4,5.7,+/-,1.9,1.1,3.85,+/-,0.68,0.15,1.42,+/-,1.03,0.14,96.08,3.44386,100A/95A/95A,7.72E+14
CL5_404326555CCS_F0050104CCAM03077P3.CSV,Pearson_DP,41.7,+/-,5.3,1.4,1.91,+/-,0.73,0.23,8.4,+/-,3.4,0.6,27.4,+/-,4.9,1.6,3,+/-,1.7,0.2,4,+/-,1.4,1,3,+/-,0.62,0.14,0.94,+/-,0.84,0.1,90.35,3.64279,100A/95A/95A,1.23E+15
CL5_404326712CCS_F0050104CCAM03077P3.CSV,Pearson_DP,43.3,+/-,5.1,1.3,1.66,+/-,0.66,0.1,9.3,+/-,3.5,0.7,26,+/-,4.8,1.7,3.1,+/-,1.7,0.1,4.3,+/-,1.5,0.3,3.02,+/-,0.62,0.11,1,+/-,0.87,0.07,91.69,3.64279,100A/95A/95A,1.16E+15
CL5_404326868CCS_F0050104CCAM03077P3.CSV,Pearson_DP,44.4,+/-,5,0.6,1.63,+/-,0.65,0.04,10.4,+/-,3.5,0.7,23.6,+/-,4.6,0.9,3.1,+/-,1.7,0.1,5,+/-,1.7,0.4,3.29,+/-,0.64,0.13,1.18,+/-,0.94,0.1,92.59,3.64279,100A/95A/95A,1.07E+15
CL5_404327024CCS_F0050104CCAM03077P3.CSV,Pearson_DP,45.9,+/-,5,1.1,1.5,+/-,0.62,0.11,11.3,+/-,3.5,0.5,20.8,+/-,4.3,2.1,3.2,+/-,1.7,0.2,5.5,+/-,1.8,0.8,3.04,+/-,0.62,0.18,0.94,+/-,0.84,0.14,92.19,3.64279,100A/95A/95A,9.51E+14
CL5_404502343CCS_F0050104CCAM01079P3.CSV,Epworth2,46.7,+/-,5,8,0.9,+/-,0.47,0.13,9.5,+/-,3.5,3.2,18.2,+/-,3.9,4.4,5.6,+/-,1.9,2.3,6.1,+/-,2,2,2.38,+/-,0.61,1.56,0.5,+/-,0.66,0.52,89.97,2.29127,100A/60A/60A,2.70E+14
CL5_404502416CCS_F0050104CCAM01079P3.CSV,Epworth2,47.4,+/-,4.9,3,0.72,+/-,0.43,0.07,9.6,+/-,3.5,1.5,17.4,+/-,3.8,1.2,7.1,+/-,2.1,1.2,7,+/-,2.3,0.9,2.48,+/-,0.61,0.64,0.39,+/-,0.62,0.11,92.18,2.29127,100A/60A/60A,2.12E+14
CL5_404502484CCS_F0050104CCAM01079P3.CSV,Epworth2,53.6,+/-,5.1,1.7,0.75,+/-,0.44,0.07,15.6,+/-,3.6,1.7,16.7,+/-,3.7,1.8,5.2,+/-,1.9,0.4,5.8,+/-,1.9,0.4,3.77,+/-,0.67,0.33,0.56,+/-,0.68,0.04,101.83,2.29127,100A/60A/60A,2.31E+14
CL5_404502552CCS_F0050104CCAM01079P3.CSV,Epworth2,44,+/-,5.1,2.6,1.16,+/-,0.53,0.38,9.5,+/-,3.5,0.8,19.7,+/-,4.2,1,6.9,+/-,2.1,1,6.8,+/-,2.2,0.7,2.26,+/-,0.62,0.29,0.32,+/-,0.6,0.07,90.57,2.29127,100A/60A/60A,1.69E+14
CL5_404502620CCS_F0050104CCAM01079P3.CSV,Epworth2,44.5,+/-,5,2.6,0.86,+/-,0.46,0.09,9.6,+/-,3.5,0.7,21.1,+/-,4.4,1.1,5.9,+/-,2,0.7,6,+/-,2,0.9,2.36,+/-,0.61,0.42,0.34,+/-,0.6,0.13,90.62,2.29127,100A/60A/60A,1.71E+14
CL5_404502688CCS_F0050104CCAM01079P3.CSV,Epworth2,43.8,+/-,5.1,3.2,0.66,+/-,0.41,0.08,8.4,+/-,3.4,1.5,17.9,+/-,3.9,1.1,8,+/-,2.3,0.7,7.6,+/-,2.4,2.2,1.91,+/-,0.64,0.52,0.24,+/-,0.57,0.1,88.37,2.29634,100A/60A/60A,1.66E+14
CL5_404502862CCS_F0050104CCAM01079P3.CSV,Epworth2,41.5,+/-,5.3,4,0.71,+/-,0.42,0.14,10.3,+/-,3.5,2,18.5,+/-,4,1,7.7,+/-,2.2,0.7,7,+/-,2.3,1.3,2,+/-,0.63,0.67,0.21,+/-,0.56,0.15,88.01,2.29634,100A/60A/60A,1.56E+14
CL5_404502930CCS_F0050104CCAM01079P3.CSV,Epworth2,42.3,+/-,5.2,1.8,0.76,+/-,0.44,0.04,9.5,+/-,3.5,1.4,18.9,+/-,4,0.9,4.1,+/-,1.8,2.4,10.8,+/-,3,2.8,1.77,+/-,0.64,0.29,0.15,+/-,0.54,0.07,88.22,2.29634,100A/60A/60A,3.11E+14
CL5_404502998CCS_F0050104CCAM01079P3.CSV,Epworth2,45.1,+/-,5,0.9,1.1,+/-,0.52,0.13,8.7,+/-,3.5,0.3,18.2,+/-,3.9,0.3,8.8,+/-,2.4,0.4,5.3,+/-,1.8,0.4,2.39,+/-,0.61,0.14,0.31,+/-,0.59,0.03,89.89,2.29634,100A/60A/60A,1.70E+14
